group,n,n_low,n_high,auc,accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp
overall,285,144,141,0.8153565799842395,0.7684210526315789,0.7684692671394799,0.7676056338028169,0.7730496453900709,0.7638888888888888,110,34,32,109
difficulty=easy,151,77,74,0.9947349947349947,0.9801324503311258,0.9802562302562303,0.9798657718120806,0.9864864864864865,0.974025974025974,75,2,1,73
difficulty=hard,99,50,49,0.30326530612244895,0.40404040404040403,0.40408163265306124,0.40404040404040403,0.40816326530612246,0.4,20,30,29,20
difficulty=medium,35,17,18,0.9509803921568627,0.8857142857142857,0.8856209150326797,0.8888888888888888,0.8888888888888888,0.8823529411764706,15,2,2,16
difficulty_fine=easy,151,77,74,0.9947349947349947,0.9801324503311258,0.9802562302562303,0.9798657718120806,0.9864864864864865,0.974025974025974,75,2,1,73
difficulty_fine=hard_core,65,31,34,0.16413662239089183,0.27692307692307694,0.2732447817836812,0.3380281690140845,0.35294117647058826,0.1935483870967742,6,25,22,12
difficulty_fine=hard_salvage_teacher,34,19,15,0.5929824561403509,0.6470588235294118,0.6350877192982456,0.5714285714285714,0.5333333333333333,0.7368421052631579,14,5,7,8
difficulty_fine=medium,35,17,18,0.9509803921568627,0.8857142857142857,0.8856209150326797,0.8888888888888888,0.8888888888888888,0.8823529411764706,15,2,2,16
non_hard_core,220,113,107,0.9533537341824498,0.9136363636363637,0.9134480191878256,0.9107981220657277,0.9065420560747663,0.9203539823008849,104,9,10,97
easy_plus_medium,186,94,92,0.990286771507863,0.9623655913978495,0.9624190564292322,0.9621621621621622,0.967391304347826,0.9574468085106383,90,4,3,89
